"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2011","2011",209,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2012","2012",205,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2013","2013",208,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2014","2014",199,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2015","2015",204,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2016","2016",200,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2017","2017",196,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2018","2018",196,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2019","2019",188,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2020","2020",195,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2010","2010",158,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2011","2011",152,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2012","2012",149,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2013","2013",147,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2014","2014",141,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2015","2015",140,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2016","2016",134,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2017","2017",131,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2018","2018",130,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2019","2019",124,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2020","2020",133,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2010","2010",185,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2011","2011",180,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2012","2012",178,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2013","2013",171,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2014","2014",162,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2015","2015",166,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2016","2016",165,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2017","2017",158,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2018","2018",155,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2019","2019",149,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2020","2020",161,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2010","2010",170,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2011","2011",168,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2012","2012",161,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2013","2013",160,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2014","2014",162,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2015","2015",162,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2016","2016",156,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2017","2017",154,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2018","2018",151,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2019","2019",156,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2020","2020",144,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2021","2021",144,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2010","2010",173,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2011","2011",168,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2012","2012",167,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2013","2013",166,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2014","2014",160,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2015","2015",162,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2016","2016",155,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2017","2017",153,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2018","2018",150,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","FRA","France","2010","2010",185,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","FRA","France","2011","2011",181,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","FRA","France","2012","2012",174,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","FRA","France","2013","2013",170,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","FRA","France","2014","2014",164,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","FRA","France","2015","2015",164,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","FRA","France","2016","2016",164,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","FRA","France","2017","2017",160,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2010","2010",238,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2011","2011",221,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2012","2012",217,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2013","2013",207,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2014","2014",202,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2015","2015",198,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2016","2016",199,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2017","2017",188,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2018","2018",180,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2019","2019",180,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2020","2020",174,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2010","2010",202,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2011","2011",198,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2012","2012",195,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2013","2013",193,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2014","2014",191,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2015","2015",188,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2016","2016",184,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2017","2017",184,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2018","2018",174,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2019","2019",171,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NOR","Norway","2010","2010",186,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NOR","Norway","2011","2011",179,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NOR","Norway","2012","2012",174,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NOR","Norway","2013","2013",168,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NOR","Norway","2014","2014",160,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NOR","Norway","2015","2015",157,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","NOR","Norway","2016","2016",156,,
