"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",66.667221192361,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",62.344327747568,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",62.6428746323793,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",65.9532255158368,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",61.8496394653416,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",64.9190124540153,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",64.310970685097,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",6.1275205101728,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",5.7161979772269,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",5.7140431518029,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",5.1236310554996,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",4.9029451152141,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",5.0596248445635,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",5.3532511203487,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",4.9727167403114,"P","Provisional value"
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",4.546065724575,"P","Provisional value"
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",4.6842534931725,"P","Provisional value"
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",35.5066590118875,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",32.9345842627192,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",30.7654659234071,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",31.0694045344976,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",34.4080596438619,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",35.0429552047437,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",30.8242207364428,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",35.4493504847869,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",33.2932689354921,,
"AUS","Australia","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",31.452443927703,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",1.5,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",1.6,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",1.4,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",1.2,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",1.2,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",1.2,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",1.1,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",1.2,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",1,,
"CAN","Canada","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",1,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",80.5432726563541,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",79.4121254573082,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",84.0149625515146,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",76.0188943234545,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",79.6826384489809,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",81.6839778136284,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",81.4452483298605,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",83.5571466250777,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",82.1383849672031,,
"CAN","Canada","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",81.4245327165589,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",6.5813320604327,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",5.8906122334884,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",5.9708573817408,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",5.5498222563461,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",5.1800177144788,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",5.2670144663981,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",5.2401572334,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",5.0923190097883,,
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",5.2313384747759,"P","Provisional value"
"CAN","Canada","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",4.6700599953778,"E","Estimated value"
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",18.6626116139332,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",20.1622302611174,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",15.6546802616159,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",23.2427496736947,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",19.3454406607303,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",17.8734788453292,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",17.8754404001647,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",15.561000676106,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",17.3473835737876,,
"CAN","Canada","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",17.0416670059829,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",0.8,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",0.8,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",0.3,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",0.4,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",0.7,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",0.6,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",0.7,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",0.8,,
"DNK","Denmark","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",0.5,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",79.4732700439343,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",78.7141950830339,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",79.5575772061877,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",79.7115177274817,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",80.3732580365175,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",85.2004561059854,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",83.3970373686659,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",81.8611111351092,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",87.058435207036,,
"DNK","Denmark","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",87.5428633791666,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",4.6072641559546,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",3.9563876598111,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",2.9925548103437,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",3.4091144370106,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",3.234270472088,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",3.1450346881424,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",3.6970513474876,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",3.04412996939,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",2.9578685357167,,
"DNK","Denmark","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",3.427440988164,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",18.388697962577,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",16.8815027960209,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",15.812955007037,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",16.5819109233364,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",17.1084217581193,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",12.950481805727,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",15.6158305503999,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",16.0649298637573,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",12.0390591288419,,
"DNK","Denmark","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",11.7806538810988,,
"FRA","France","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",0.7,,
"FRA","France","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",0.6,,
"FRA","France","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",0.6,,
"FRA","France","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",0.6,,
"FRA","France","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",0.5,,
"FRA","France","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",0.5,,
"FRA","France","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",0.4,,
"FRA","France","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",0.4,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",64.8084543739716,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",62.7548269923654,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",67.117722665576,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",67.0551534463611,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",69.700783496182,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",70.6077856837291,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",68.3495586196838,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",72.6857441140943,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",73.4827145632022,,
"FRA","France","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",74.0523350345763,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",6.3602088003016,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",6.2834602582792,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",5.7640142507639,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",5.1304702284763,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",5.2851911972579,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",5.3825129231243,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",5.3933071989312,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",5.33594014437,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",5.0181496957314,,
"FRA","France","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",5.005241926301,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",30.5198654787741,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",30.8805700579718,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",25.7570378394657,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",25.9190368886813,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",26.465286020592,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",26.8662380537589,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",29.636136729702,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",25.4797191654284,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",24.8282585487468,,
"FRA","France","DEP","Deprivation","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",23.5889374247317,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",0.6,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",0.5,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",0.5,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",0.5,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",0.4,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",0.5,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",0.4,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",0.4,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",0.4,,
"DEU","Germany","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",0.4,,
"DEU","Germany","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",74.8752176498276,,
"DEU","Germany","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",77.3784351100991,,
"DEU","Germany","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",78.9472104842619,,
"DEU","Germany","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",75.7552141846681,,
"DEU","Germany","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",79.6458452821897,,
